"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt"
"2012-2013","Apache","Kindergarten","766","97.3","97.1","96.2","98.3","98","1.4","0.1"
"2012-2013","Cochise","Kindergarten","1,558","94.5","94.7","94.6","96.5","97","1.7","0.3"
"2012-2013","Coconino","Kindergarten","1,483","93.1","93.1","93","94.8","94.7","5","0.3"
"2012-2013","Gila","Kindergarten","666","97.1","97.7","97.4","98.3","98.3","2.3","0.2"
"2012-2013","Graham","Kindergarten","460","94.6","95","94.3","96.1","97.4","2.4","0.2"
"2012-2013","Greenlee","Kindergarten","130","95.4","98.5","97.7","96.9","99.2","1.5","0"
"2012-2013","La Paz","Kindergarten","234","98.7","97.9","97.9","99.1","98.7","0.9","0"
"2012-2013","Maricopa","Kindergarten","56,414","94.2","94.5","94.2","95.6","96.6","4.3","0.4"
"2012-2013","Mohave","Kindergarten","2,012","91.8","91.5","90.6","94.6","95.9","4.7","0"
"2012-2013","Navajo","Kindergarten","1,669","94","94.9","94.1","95.8","96.7","3.9","0.1"
"2012-2013","Pima","Kindergarten","12,211","96.6","96.4","96.3","97.5","98","2.4","0.3"
"2012-2013","Pinal","Kindergarten","4,713","94","93.9","93.5","95.5","96.1","4.7","0.4"
"2012-2013","Santa Cruz","Kindergarten","820","98.3","97.8","98.2","98.8","98.9","1.3","0.2"
"2012-2013","Yavapai","Kindergarten","1,914","90.9","89.7","89.6","91.9","92.4","7.5","0.8"
"2012-2013","Yuma","Kindergarten","2,859","97.5","97.7","97.7","98.8","98.5","0.7","0.3"
"2012-2013","Total","Kindergarten","87,909","94.6","94.7","94.5","95.9","96.8","3.9","0.3"