"","st","agec2","year","N_IPD"
"2264","4","50+ years",2016,22
"2265","4","50+ years",2017,36
"2266","4","50+ years",2018,43
"2267","4","50+ years",2019,41
"2268","4","50+ years",2020,36
"2269","4","50+ years",2021,35
"2270","4","50+ years",2022,81
"2271","4","50+ years",2023,125
"2272","41A","50+ years",2003,1
"2273","43","50+ years",2008,1
"2274","45","50+ years",2019,1
"2275","47F","5-49 years",2008,1
"2276","5","<5 years",1998,1
"2277","5","<5 years",1999,1
"2278","5","<5 years",2000,1
"2279","5","<5 years",2001,1
"2280","5","<5 years",2004,1
"2281","5","<5 years",2005,1
"2282","5","<5 years",2008,2
"2283","5","<5 years",2009,2
"2284","5","5-49 years",1998,2
"2285","5","5-49 years",1999,2
"2286","5","5-49 years",2000,4
"2287","5","5-49 years",2001,14
"2288","5","5-49 years",2002,16
"2289","5","5-49 years",2003,5
"2290","5","5-49 years",2004,9
"2291","5","5-49 years",2005,2
"2292","5","5-49 years",2006,1
"2293","5","5-49 years",2007,2
"2294","5","5-49 years",2008,3
"2295","5","5-49 years",2009,1
"2296","5","5-49 years",2010,1
"2297","5","5-49 years",2013,3
"2298","5","50+ years",1998,1
"2299","5","50+ years",1999,4
"2300","5","50+ years",2000,5
"2301","5","50+ years",2001,7
"2302","5","50+ years",2002,8
"2303","5","50+ years",2003,3
"2304","5","50+ years",2004,5
"2305","5","50+ years",2005,2
"2306","5","50+ years",2006,3
"2307","5","50+ years",2007,2
"2308","5","50+ years",2008,3
"2309","5","50+ years",2010,3
"2310","5","50+ years",2012,1
"2311","5","50+ years",2014,1
"2312","5","50+ years",2017,1
"2313","6A","<5 years",1998,44
"2314","6A","<5 years",1999,54
"2315","6A","<5 years",2000,45
"2316","6A","<5 years",2001,36
"2317","6A","<5 years",2002,13
"2318","6A","<5 years",2003,24
"2319","6A","<5 years",2004,8
"2320","6A","<5 years",2005,3
"2321","6A","<5 years",2006,7
"2322","6A","<5 years",2007,3
"2323","6A","<5 years",2008,2
"2324","6A","<5 years",2010,1
"2325","6A","5-49 years",1998,43
"2326","6A","5-49 years",1999,38
"2327","6A","5-49 years",2000,51
"2328","6A","5-49 years",2001,51
"2329","6A","5-49 years",2002,56
"2330","6A","5-49 years",2003,52
"2331","6A","5-49 years",2004,30
"2332","6A","5-49 years",2005,26
"2333","6A","5-49 years",2006,30
"2334","6A","5-49 years",2007,20
"2335","6A","5-49 years",2008,16
"2336","6A","5-49 years",2009,11
"2337","6A","5-49 years",2010,5
"2338","6A","5-49 years",2011,1
"2339","6A","5-49 years",2012,4
"2340","6A","5-49 years",2015,1
"2341","6A","5-49 years",2016,1
"2342","6A","5-49 years",2018,1
"2343","6A","5-49 years",2022,1
"2344","6A","50+ years",1998,68
"2345","6A","50+ years",1999,93
"2346","6A","50+ years",2000,88
"2347","6A","50+ years",2001,80
"2348","6A","50+ years",2002,98
"2349","6A","50+ years",2003,95
"2350","6A","50+ years",2004,87
"2351","6A","50+ years",2005,62
"2352","6A","50+ years",2006,63
"2353","6A","50+ years",2007,59
"2354","6A","50+ years",2008,49
"2355","6A","50+ years",2009,53
"2356","6A","50+ years",2010,33
"2357","6A","50+ years",2011,6
"2358","6A","50+ years",2012,8
"2359","6A","50+ years",2013,3
"2360","6A","50+ years",2014,2
"2361","6A","50+ years",2015,2
"2362","6A","50+ years",2016,3
"2363","6A","50+ years",2017,3
"2364","6A","50+ years",2018,2
"2365","6A","50+ years",2019,4
"2366","6A","50+ years",2021,1
"2367","6A","50+ years",2022,2
"2368","6A","50+ years",2023,1
"2369","6B","<5 years",1998,100
"2370","6B","<5 years",1999,111
"2371","6B","<5 years",2000,113
"2372","6B","<5 years",2001,66
"2373","6B","<5 years",2002,35
"2374","6B","<5 years",2003,14
"2375","6B","<5 years",2004,4
"2376","6B","<5 years",2005,4
"2377","6B","<5 years",2006,1
"2378","6B","<5 years",2008,1
"2379","6B","<5 years",2010,1
"2380","6B","<5 years",2016,1
"2381","6B","5-49 years",1998,61
"2382","6B","5-49 years",1999,44
"2383","6B","5-49 years",2000,61
"2384","6B","5-49 years",2001,54
"2385","6B","5-49 years",2002,48
"2386","6B","5-49 years",2003,25
"2387","6B","5-49 years",2004,25
"2388","6B","5-49 years",2005,7
"2389","6B","5-49 years",2006,5
"2390","6B","5-49 years",2007,3
"2391","6B","5-49 years",2008,9
"2392","6B","5-49 years",2009,1
"2393","6B","5-49 years",2010,2
"2394","6B","5-49 years",2011,1
"2395","6B","5-49 years",2012,1
"2396","6B","5-49 years",2013,1
"2397","6B","5-49 years",2016,2
"2398","6B","5-49 years",2018,1
"2399","6B","50+ years",1998,118
"2400","6B","50+ years",1999,110
"2401","6B","50+ years",2000,128
"2402","6B","50+ years",2001,120
"2403","6B","50+ years",2002,88
"2404","6B","50+ years",2003,63
"2405","6B","50+ years",2004,38
"2406","6B","50+ years",2005,39
"2407","6B","50+ years",2006,22
"2408","6B","50+ years",2007,20
"2409","6B","50+ years",2008,19
"2410","6B","50+ years",2009,13
"2411","6B","50+ years",2010,4
"2412","6B","50+ years",2011,2
"2413","6B","50+ years",2012,3
"2414","6B","50+ years",2013,3
"2415","6B","50+ years",2014,7
"2416","6B","50+ years",2015,5
"2417","6B","50+ years",2016,3
"2418","6B","50+ years",2017,6
"2419","6B","50+ years",2018,4
"2420","6B","50+ years",2019,3
"2421","6B","50+ years",2020,2
"2422","6B","50+ years",2021,3
"2423","6C","<5 years",1998,1
"2424","6C","<5 years",2000,2
"2425","6C","<5 years",2001,2
"2426","6C","<5 years",2003,4
"2427","6C","<5 years",2004,7
"2428","6C","<5 years",2005,3
"2429","6C","<5 years",2006,9
"2430","6C","<5 years",2007,9
"2431","6C","<5 years",2008,4
"2432","6C","<5 years",2009,10
"2433","6C","<5 years",2010,8
"2434","6C","<5 years",2011,8
"2435","6C","<5 years",2012,5
"2436","6C","<5 years",2018,2
"2437","6C","<5 years",2022,1
"2438","6C","5-49 years",1999,2
"2439","6C","5-49 years",2000,7
"2440","6C","5-49 years",2001,5
"2441","6C","5-49 years",2002,7
"2442","6C","5-49 years",2003,9
"2443","6C","5-49 years",2004,17
"2444","6C","5-49 years",2005,14
"2445","6C","5-49 years",2006,23
"2446","6C","5-49 years",2007,31
"2447","6C","5-49 years",2008,29
"2448","6C","5-49 years",2009,38
"2449","6C","5-49 years",2010,44
"2450","6C","5-49 years",2011,32
"2451","6C","5-49 years",2012,26
"2452","6C","5-49 years",2013,24
"2453","6C","5-49 years",2014,10
"2454","6C","5-49 years",2015,17
"2455","6C","5-49 years",2016,15
"2456","6C","5-49 years",2017,16
"2457","6C","5-49 years",2018,19
"2458","6C","5-49 years",2019,16
"2459","6C","5-49 years",2020,3
"2460","6C","5-49 years",2021,10
"2461","6C","5-49 years",2022,14
"2462","6C","5-49 years",2023,14
"2463","6C","50+ years",1999,23
"2464","6C","50+ years",2000,19
"2465","6C","50+ years",2001,11
"2466","6C","50+ years",2002,27
"2467","6C","50+ years",2003,41
"2468","6C","50+ years",2004,36
"2469","6C","50+ years",2005,48
"2470","6C","50+ years",2006,88
"2471","6C","50+ years",2007,87
"2472","6C","50+ years",2008,114
"2473","6C","50+ years",2009,130
"2474","6C","50+ years",2010,147
"2475","6C","50+ years",2011,155
"2476","6C","50+ years",2012,128
"2477","6C","50+ years",2013,122
"2478","6C","50+ years",2014,103
"2479","6C","50+ years",2015,81
"2480","6C","50+ years",2016,62
"2481","6C","50+ years",2017,59
"2482","6C","50+ years",2018,68
"2483","6C","50+ years",2019,47
"2484","6C","50+ years",2020,24
"2485","6C","50+ years",2021,18
"2486","6C","50+ years",2022,22
"2487","6C","50+ years",2023,36
"2488","6D","5-49 years",2011,1
"2489","6D","50+ years",2010,1
"2490","6D","50+ years",2011,1
"2491","6D","50+ years",2013,1
"2492","6D","50+ years",2014,2
"2493","6D","50+ years",2016,1
"2494","6D","50+ years",2017,1
"2495","7A","5-49 years",2000,1
"2496","7A","5-49 years",2001,1
"2497","7A","5-49 years",2012,1
"2498","7A","50+ years",1998,1
"2499","7A","50+ years",1999,1
"2500","7A","50+ years",2001,1
"2501","7A","50+ years",2009,1
"2502","7B","<5 years",2023,1
"2503","7B","5-49 years",2000,1
"2504","7B","50+ years",1999,1
"2505","7B","50+ years",2013,1
"2506","7B","50+ years",2016,1
"2507","7C","<5 years",2002,3
"2508","7C","<5 years",2004,1
"2509","7C","<5 years",2005,2
"2510","7C","<5 years",2006,3
"2511","7C","<5 years",2007,3
"2512","7C","<5 years",2008,1
"2513","7C","<5 years",2010,2
"2514","7C","<5 years",2011,2
"2515","7C","<5 years",2012,1
"2516","7C","<5 years",2013,1
"2517","7C","<5 years",2014,1
"2518","7C","<5 years",2015,1
"2519","7C","<5 years",2016,2
"2520","7C","<5 years",2017,3
"2521","7C","<5 years",2018,6
"2522","7C","<5 years",2020,2
"2523","7C","<5 years",2021,1
"2524","7C","<5 years",2022,4
"2525","7C","5-49 years",1999,3
"2526","7C","5-49 years",2000,1
"2527","7C","5-49 years",2001,5
"2528","7C","5-49 years",2002,3
"2529","7C","5-49 years",2003,2
"2530","7C","5-49 years",2004,3
"2531","7C","5-49 years",2005,5
"2532","7C","5-49 years",2006,4
"2533","7C","5-49 years",2007,5
"2534","7C","5-49 years",2008,13
"2535","7C","5-49 years",2009,14
"2536","7C","5-49 years",2010,5
"2537","7C","5-49 years",2011,5
"2538","7C","5-49 years",2012,12
"2539","7C","5-49 years",2013,9
"2540","7C","5-49 years",2014,12
"2541","7C","5-49 years",2015,10
"2542","7C","5-49 years",2016,9
"2543","7C","5-49 years",2017,15
"2544","7C","5-49 years",2018,10
"2545","7C","5-49 years",2019,12
"2546","7C","5-49 years",2020,9
"2547","7C","5-49 years",2021,10
"2548","7C","5-49 years",2022,11
"2549","7C","5-49 years",2023,6
"2550","7C","50+ years",1999,3
"2551","7C","50+ years",2001,3
"2552","7C","50+ years",2002,5
"2553","7C","50+ years",2003,15
"2554","7C","50+ years",2004,11
"2555","7C","50+ years",2005,18
"2556","7C","50+ years",2006,13
"2557","7C","50+ years",2007,23
"2558","7C","50+ years",2008,22
"2559","7C","50+ years",2009,20
"2560","7C","50+ years",2010,30
"2561","7C","50+ years",2011,29
"2562","7C","50+ years",2012,20
"2563","7C","50+ years",2013,38
"2564","7C","50+ years",2014,39
"2565","7C","50+ years",2015,42
"2566","7C","50+ years",2016,38
"2567","7C","50+ years",2017,48
"2568","7C","50+ years",2018,41
"2569","7C","50+ years",2019,34
"2570","7C","50+ years",2020,27
"2571","7C","50+ years",2021,27
"2572","7C","50+ years",2022,46
"2573","7C","50+ years",2023,39
"2574","7F","<5 years",1998,5
"2575","7F","<5 years",1999,8
"2576","7F","<5 years",2000,3
"2577","7F","<5 years",2001,16
"2578","7F","<5 years",2002,14
"2579","7F","<5 years",2003,20
"2580","7F","<5 years",2004,15
"2581","7F","<5 years",2005,33
"2582","7F","<5 years",2006,27
"2583","7F","<5 years",2007,59
"2584","7F","<5 years",2008,55
"2585","7F","<5 years",2009,71
"2586","7F","<5 years",2010,61
"2587","7F","<5 years",2011,13
"2588","7F","<5 years",2012,3
"2589","7F","<5 years",2013,2
"2590","7F","<5 years",2014,1
"2591","7F","<5 years",2023,1
"2592","7F","5-49 years",1998,49
"2593","7F","5-49 years",1999,38
"2594","7F","5-49 years",2000,38
"2595","7F","5-49 years",2001,45
"2596","7F","5-49 years",2002,60
"2597","7F","5-49 years",2003,51
"2598","7F","5-49 years",2004,42
"2599","7F","5-49 years",2005,79
"2600","7F","5-49 years",2006,135
"2601","7F","5-49 years",2007,169
"2602","7F","5-49 years",2008,257
"2603","7F","5-49 years",2009,296
"2604","7F","5-49 years",2010,229
"2605","7F","5-49 years",2011,162
"2606","7F","5-49 years",2012,77
"2607","7F","5-49 years",2013,54
"2608","7F","5-49 years",2014,31
"2609","7F","5-49 years",2015,21
"2610","7F","5-49 years",2016,21
"2611","7F","5-49 years",2017,18
"2612","7F","5-49 years",2018,12
"2613","7F","5-49 years",2019,6
"2614","7F","5-49 years",2020,8
"2615","7F","5-49 years",2022,8
"2616","7F","5-49 years",2023,18
"2617","7F","50+ years",1998,46
"2618","7F","50+ years",1999,41
"2619","7F","50+ years",2000,41
"2620","7F","50+ years",2001,34
"2621","7F","50+ years",2002,39
"2622","7F","50+ years",2003,47
"2623","7F","50+ years",2004,70
"2624","7F","50+ years",2005,86
"2625","7F","50+ years",2006,144
"2626","7F","50+ years",2007,204
"2627","7F","50+ years",2008,292
"2628","7F","50+ years",2009,327
"2629","7F","50+ years",2010,301
"2630","7F","50+ years",2011,221
"2631","7F","50+ years",2012,114
"2632","7F","50+ years",2013,80
"2633","7F","50+ years",2014,37
"2634","7F","50+ years",2015,29
"2635","7F","50+ years",2016,18
"2636","7F","50+ years",2017,28
"2637","7F","50+ years",2018,24
"2638","7F","50+ years",2019,11
"2639","7F","50+ years",2020,8
"2640","7F","50+ years",2021,3
"2641","7F","50+ years",2022,5
"2642","7F","50+ years",2023,9
"2643","8","<5 years",2000,3
"2644","8","<5 years",2001,2
"2645","8","<5 years",2003,3
"2646","8","<5 years",2004,2
"2647","8","<5 years",2005,1
"2648","8","<5 years",2008,3
"2649","8","<5 years",2009,4
"2650","8","<5 years",2010,2
"2651","8","<5 years",2011,4
"2652","8","<5 years",2012,4
"2653","8","<5 years",2013,3
"2654","8","<5 years",2014,1
"2655","8","<5 years",2015,2
"2656","8","<5 years",2018,1
"2657","8","<5 years",2019,2
"2658","8","<5 years",2020,3
"2659","8","<5 years",2021,2
"2660","8","<5 years",2022,1
"2661","8","5-49 years",1998,20
"2662","8","5-49 years",1999,14
"2663","8","5-49 years",2000,17
"2664","8","5-49 years",2001,26
"2665","8","5-49 years",2002,23
"2666","8","5-49 years",2003,34
"2667","8","5-49 years",2004,34
"2668","8","5-49 years",2005,26
"2669","8","5-49 years",2006,39
"2670","8","5-49 years",2007,27
"2671","8","5-49 years",2008,31
"2672","8","5-49 years",2009,38
"2673","8","5-49 years",2010,28
"2674","8","5-49 years",2011,37
"2675","8","5-49 years",2012,28
"2676","8","5-49 years",2013,47
"2677","8","5-49 years",2014,38
"2678","8","5-49 years",2015,36
"2679","8","5-49 years",2016,45
"2680","8","5-49 years",2017,44
"2681","8","5-49 years",2018,39
"2682","8","5-49 years",2019,49
"2683","8","5-49 years",2020,14
"2684","8","5-49 years",2021,14
"2685","8","5-49 years",2022,34
"2686","8","5-49 years",2023,20
"2687","8","50+ years",1998,17
"2688","8","50+ years",1999,12
"2689","8","50+ years",2000,24
"2690","8","50+ years",2001,12
"2691","8","50+ years",2002,25
"2692","8","50+ years",2003,24
"2693","8","50+ years",2004,41
"2694","8","50+ years",2005,42
"2695","8","50+ years",2006,39
"2696","8","50+ years",2007,46
"2697","8","50+ years",2008,46
"2698","8","50+ years",2009,42
"2699","8","50+ years",2010,46
"2700","8","50+ years",2011,58
"2701","8","50+ years",2012,59
"2702","8","50+ years",2013,84
"2703","8","50+ years",2014,78
"2704","8","50+ years",2015,67
"2705","8","50+ years",2016,76
"2706","8","50+ years",2017,99
"2707","8","50+ years",2018,80
"2708","8","50+ years",2019,78
"2709","8","50+ years",2020,31
"2710","8","50+ years",2021,24
"2711","8","50+ years",2022,45
"2712","8","50+ years",2023,45
"2713","9A","<5 years",1998,11
"2714","9A","<5 years",1999,12
"2715","9A","<5 years",2000,3
"2716","9A","<5 years",2001,5
"2717","9A","5-49 years",1998,9
"2718","9A","5-49 years",1999,9
"2719","9A","5-49 years",2000,4
"2720","9A","5-49 years",2001,5
"2721","9A","5-49 years",2002,10
"2722","9A","5-49 years",2003,1
"2723","9A","5-49 years",2004,1
"2724","9A","5-49 years",2007,1
"2725","9A","50+ years",1998,14
"2726","9A","50+ years",1999,14
"2727","9A","50+ years",2000,9
"2728","9A","50+ years",2001,12
"2729","9A","50+ years",2002,17
"2730","9A","50+ years",2003,3
"2731","9A","50+ years",2006,1
"2732","9A","50+ years",2007,1
"2733","9L","<5 years",1998,1
"2734","9L","<5 years",1999,1
"2735","9L","<5 years",2000,2
"2736","9L","5-49 years",2000,1
"2737","9L","5-49 years",2012,1
"2738","9L","50+ years",1998,1
"2739","9L","50+ years",1999,2
"2740","9L","50+ years",2017,2
"2741","9L","50+ years",2018,1
"2742","9L","50+ years",2019,1
"2743","9N","<5 years",1998,4
"2744","9N","<5 years",1999,2
"2745","9N","<5 years",2000,3
"2746","9N","<5 years",2001,3
"2747","9N","<5 years",2002,1
"2748","9N","<5 years",2003,1
"2749","9N","<5 years",2005,2
"2750","9N","<5 years",2006,3
"2751","9N","<5 years",2008,2
"2752","9N","<5 years",2009,4
"2753","9N","<5 years",2010,2
"2754","9N","<5 years",2011,6
"2755","9N","<5 years",2012,2
"2756","9N","<5 years",2014,3
"2757","9N","<5 years",2015,3
"2758","9N","<5 years",2016,3
"2759","9N","<5 years",2017,3
"2760","9N","<5 years",2018,2
"2761","9N","<5 years",2021,4
"2762","9N","<5 years",2023,2
"2763","9N","5-49 years",1998,30
"2764","9N","5-49 years",1999,27
"2765","9N","5-49 years",2000,21
"2766","9N","5-49 years",2001,20
"2767","9N","5-49 years",2002,20
"2768","9N","5-49 years",2003,28
"2769","9N","5-49 years",2004,22
"2770","9N","5-49 years",2005,35
"2771","9N","5-49 years",2006,29
"2772","9N","5-49 years",2007,34
"2773","9N","5-49 years",2008,26
"2774","9N","5-49 years",2009,35
"2775","9N","5-49 years",2010,41
"2776","9N","5-49 years",2011,31
"2777","9N","5-49 years",2012,22
"2778","9N","5-49 years",2013,33
"2779","9N","5-49 years",2014,41
"2780","9N","5-49 years",2015,33
"2781","9N","5-49 years",2016,36
"2782","9N","5-49 years",2017,36
"2783","9N","5-49 years",2018,62
"2784","9N","5-49 years",2019,49
"2785","9N","5-49 years",2020,42
"2786","9N","5-49 years",2021,34
"2787","9N","5-49 years",2022,52
"2788","9N","5-49 years",2023,54
"2789","9N","50+ years",1998,24
"2790","9N","50+ years",1999,20
"2791","9N","50+ years",2000,30
"2792","9N","50+ years",2001,24
"2793","9N","50+ years",2002,27
"2794","9N","50+ years",2003,34
"2795","9N","50+ years",2004,19
"2796","9N","50+ years",2005,31
"2797","9N","50+ years",2006,34
"2798","9N","50+ years",2007,53
"2799","9N","50+ years",2008,61
"2800","9N","50+ years",2009,62
"2801","9N","50+ years",2010,84
"2802","9N","50+ years",2011,74
"2803","9N","50+ years",2012,93
"2804","9N","50+ years",2013,93
"2805","9N","50+ years",2014,78
"2806","9N","50+ years",2015,76
"2807","9N","50+ years",2016,114
"2808","9N","50+ years",2017,111
"2809","9N","50+ years",2018,130
"2810","9N","50+ years",2019,109
"2811","9N","50+ years",2020,74
"2812","9N","50+ years",2021,83
"2813","9N","50+ years",2022,107
"2814","9N","50+ years",2023,111
"2815","9V","<5 years",1998,55
"2816","9V","<5 years",1999,61
"2817","9V","<5 years",2000,40
"2818","9V","<5 years",2001,33
"2819","9V","<5 years",2002,10
"2820","9V","<5 years",2003,5
"2821","9V","<5 years",2004,1
"2822","9V","<5 years",2005,1
"2823","9V","<5 years",2006,2
"2824","9V","<5 years",2009,2
"2825","9V","5-49 years",1998,122
"2826","9V","5-49 years",1999,110
"2827","9V","5-49 years",2000,108
"2828","9V","5-49 years",2001,88
"2829","9V","5-49 years",2002,62
"2830","9V","5-49 years",2003,51
"2831","9V","5-49 years",2004,35
"2832","9V","5-49 years",2005,24
"2833","9V","5-49 years",2006,22
"2834","9V","5-49 years",2007,11
"2835","9V","5-49 years",2008,11
"2836","9V","5-49 years",2009,11
"2837","9V","5-49 years",2010,7
"2838","9V","5-49 years",2011,6
"2839","9V","5-49 years",2012,1
"2840","9V","5-49 years",2013,1
"2841","9V","5-49 years",2014,2
"2842","9V","5-49 years",2015,2
"2843","9V","5-49 years",2016,1
"2844","9V","5-49 years",2017,1
"2845","9V","5-49 years",2018,1
"2846","9V","5-49 years",2020,1
"2847","9V","5-49 years",2021,2
"2848","9V","5-49 years",2023,2
"2849","9V","50+ years",1998,138
"2850","9V","50+ years",1999,151
"2851","9V","50+ years",2000,136
"2852","9V","50+ years",2001,135
"2853","9V","50+ years",2002,104
"2854","9V","50+ years",2003,80
"2855","9V","50+ years",2004,68
"2856","9V","50+ years",2005,52
"2857","9V","50+ years",2006,38
"2858","9V","50+ years",2007,24
"2859","9V","50+ years",2008,20
"2860","9V","50+ years",2009,11
"2861","9V","50+ years",2010,12
"2862","9V","50+ years",2011,5
"2863","9V","50+ years",2012,7
"2864","9V","50+ years",2013,4
"2865","9V","50+ years",2014,4
"2866","9V","50+ years",2015,4
"2867","9V","50+ years",2016,2
"2868","9V","50+ years",2017,7
"2869","9V","50+ years",2018,3
"2870","9V","50+ years",2019,2
"2871","9V","50+ years",2020,2
"2872","9V","50+ years",2021,2
"2873","9V","50+ years",2022,1
"2874","9V","50+ years",2023,4
"2875","MISS","<5 years",1998,181
"2876","MISS","<5 years",1999,186
"2877","MISS","<5 years",2000,151
"2878","MISS","<5 years",2001,97
"2879","MISS","<5 years",2002,64
"2880","MISS","<5 years",2003,49
"2881","MISS","<5 years",2004,70
"2882","MISS","<5 years",2005,76
"2883","MISS","<5 years",2006,64
"2884","MISS","<5 years",2007,61
"2885","MISS","<5 years",2008,75
"2886","MISS","<5 years",2009,53
"2887","MISS","<5 years",2010,44
"2888","MISS","<5 years",2011,23
"2889","MISS","<5 years",2012,16
"2890","MISS","<5 years",2013,23
"2891","MISS","<5 years",2014,22
"2892","MISS","<5 years",2015,36
"2893","MISS","<5 years",2016,32
"2894","MISS","<5 years",2017,21
"2895","MISS","<5 years",2018,15
"2896","MISS","<5 years",2019,15
"2897","MISS","<5 years",2020,5
"2898","MISS","<5 years",2021,14
"2899","MISS","<5 years",2022,33
"2900","MISS","<5 years",2023,30
"2901","MISS","5-49 years",1998,144
"2902","MISS","5-49 years",1999,150
"2903","MISS","5-49 years",2000,129
"2904","MISS","5-49 years",2001,123
"2905","MISS","5-49 years",2002,124
"2906","MISS","5-49 years",2003,113
"2907","MISS","5-49 years",2004,157
"2908","MISS","5-49 years",2005,167
"2909","MISS","5-49 years",2006,133
"2910","MISS","5-49 years",2007,142
"2911","MISS","5-49 years",2008,166
"2912","MISS","5-49 years",2009,116
"2913","MISS","5-49 years",2010,89
"2914","MISS","5-49 years",2011,77
"2915","MISS","5-49 years",2012,64
"2916","MISS","5-49 years",2013,62
"2917","MISS","5-49 years",2014,68
"2918","MISS","5-49 years",2015,74
"2919","MISS","5-49 years",2016,55
"2920","MISS","5-49 years",2017,78
"2921","MISS","5-49 years",2018,104
"2922","MISS","5-49 years",2019,97
"2923","MISS","5-49 years",2020,74
"2924","MISS","5-49 years",2021,105
"2925","MISS","5-49 years",2022,142
"2926","MISS","5-49 years",2023,151
"2927","MISS","50+ years",1998,235
"2928","MISS","50+ years",1999,233
"2929","MISS","50+ years",2000,211
"2930","MISS","50+ years",2001,207
"2931","MISS","50+ years",2002,218
"2932","MISS","50+ years",2003,220
"2933","MISS","50+ years",2004,270
"2934","MISS","50+ years",2005,269
"2935","MISS","50+ years",2006,263
"2936","MISS","50+ years",2007,287
"2937","MISS","50+ years",2008,290
"2938","MISS","50+ years",2009,266
"2939","MISS","50+ years",2010,234
"2940","MISS","50+ years",2011,214
"2941","MISS","50+ years",2012,171
"2942","MISS","50+ years",2013,197
"2943","MISS","50+ years",2014,174
"2944","MISS","50+ years",2015,217
"2945","MISS","50+ years",2016,208
"2946","MISS","50+ years",2017,222
"2947","MISS","50+ years",2018,257
"2948","MISS","50+ years",2019,249
"2949","MISS","50+ years",2020,217
"2950","MISS","50+ years",2021,286
"2951","MISS","50+ years",2022,308
"2952","MISS","50+ years",2023,335
"2953","NT","<5 years",1998,4
"2954","NT","<5 years",1999,3
"2955","NT","<5 years",2000,2
"2956","NT","<5 years",2001,2
"2957","NT","<5 years",2002,3
"2958","NT","<5 years",2003,4
"2959","NT","<5 years",2004,2
"2960","NT","<5 years",2005,1
"2961","NT","<5 years",2006,4
"2962","NT","<5 years",2007,4
"2963","NT","<5 years",2008,3
"2964","NT","<5 years",2010,5
"2965","NT","<5 years",2011,2
"2966","NT","<5 years",2012,1
"2967","NT","<5 years",2016,1
"2968","NT","<5 years",2017,1
"2969","NT","<5 years",2019,1
"2970","NT","<5 years",2020,1
"2971","NT","<5 years",2021,2
"2972","NT","<5 years",2023,1
"2973","NT","5-49 years",1998,1
"2974","NT","5-49 years",1999,7
"2975","NT","5-49 years",2000,1
"2976","NT","5-49 years",2001,9
"2977","NT","5-49 years",2002,12
"2978","NT","5-49 years",2003,11
"2979","NT","5-49 years",2004,7
"2980","NT","5-49 years",2005,10
"2981","NT","5-49 years",2006,10
"2982","NT","5-49 years",2007,6
"2983","NT","5-49 years",2008,7
"2984","NT","5-49 years",2009,6
"2985","NT","5-49 years",2010,2
"2986","NT","5-49 years",2011,8
"2987","NT","5-49 years",2012,3
"2988","NT","5-49 years",2013,2
"2989","NT","5-49 years",2014,1
"2990","NT","5-49 years",2017,1
"2991","NT","5-49 years",2020,1
"2992","NT","5-49 years",2023,1
"2993","NT","50+ years",1998,7
"2994","NT","50+ years",1999,3
"2995","NT","50+ years",2000,4
"2996","NT","50+ years",2001,9
"2997","NT","50+ years",2002,7
"2998","NT","50+ years",2003,8
"2999","NT","50+ years",2004,9
"3000","NT","50+ years",2005,15
"3001","NT","50+ years",2006,19
"3002","NT","50+ years",2007,13
"3003","NT","50+ years",2008,8
"3004","NT","50+ years",2009,10
"3005","NT","50+ years",2010,21
"3006","NT","50+ years",2011,14
"3007","NT","50+ years",2012,12
"3008","NT","50+ years",2013,4
"3009","NT","50+ years",2014,3
"3010","NT","50+ years",2015,1
"3011","NT","50+ years",2017,2
"3012","NT","50+ years",2018,7
"3013","NT","50+ years",2019,7
"3014","NT","50+ years",2020,3
"3015","NT","50+ years",2021,3
"3016","NT","50+ years",2022,1
"3017","NT","50+ years",2023,3
